CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*
01112	63	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
01112	63	A0432	1.75	1.084	$231.98	$438.43	$442.73	n/a	n/a
01112	63	A0433	2.75	1.084	$231.98	$688.97	$695.72	$852.95	n/a
01112	63	A0434	3.25	1.084	$231.98	$814.23	$822.21	"$1,008.03"	n/a
01112	63	A0435	1.00	1.084	$8.93	$8.93	$13.40	n/a	$13.40
01112	63	A0436	1.00	1.084	$23.83	$23.83	$35.75	n/a	$35.75
01112	64	A0425	1.00	1.117	$7.47	$7.62	$7.69	n/a	$11.54
01112	64	A0426	1.20	1.117	$231.98	$307.20	$310.21	$380.32	n/a
01112	64	A0427	1.90	1.117	$231.98	$486.40	$491.17	$602.17	n/a
01112	64	A0428	1.00	1.117	$231.98	$256.00	$258.51	$316.93	n/a
01112	64	A0429	1.60	1.117	$231.98	$409.60	$413.61	$507.09	n/a
01112	64	A0430	1.00	1.117	"$3,147.91"	"$3,332.06"	"$4,998.09"	n/a	"$4,998.09"
01112	64	A0431	1.00	1.117	"$3,659.92"	"$3,874.03"	"$5,811.04"	n/a	"$5,811.04"
01112	64	A0432	1.75	1.117	$231.98	$448.00	$452.39	n/a	n/a
01112	64	A0433	2.75	1.117	$231.98	$704.00	$710.90	$871.56	n/a
01112	64	A0434	3.25	1.117	$231.98	$832.00	$840.15	"$1,030.02"	n/a
01112	64	A0435	1.00	1.117	$8.93	$8.93	$13.40	n/a	$13.40
01112	64	A0436	1.00	1.117	$23.83	$23.83	$35.75	n/a	$35.75
01112	65	A0425	1.00	1.284	$7.47	$7.62	$7.69	n/a	$11.54
01112	65	A0426	1.20	1.284	$231.98	$340.39	$343.73	$421.41	n/a
01112	65	A0427	1.90	1.284	$231.98	$538.95	$544.24	$667.24	n/a
01112	65	A0428	1.00	1.284	$231.98	$283.66	$286.44	$351.18	n/a
01112	65	A0429	1.60	1.284	$231.98	$453.86	$458.30	$561.88	n/a
01112	65	A0430	1.00	1.284	"$3,147.91"	"$3,594.91"	"$5,392.37"	n/a	"$5,392.37"
