(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
00884	16	A0429	209.65	1.60	0.827	$300.71	$303.66	$372.29	n/a	
00884	16	A0430	1.00	1.00	0.827	"$2,599.04"	"$3,898.55"	n/a	"$3,898.55"	
00884	16	A0431	1.00	1.00	0.827	"$3,021.76"	"$4,532.64"	n/a	"$4,532.64"	
00884	16	A0432	209.65	1.75	0.827	$328.91	$332.13	n/a	n/a	
00884	16	A0433	209.65	2.75	0.827	$516.85	$521.92	$639.87	n/a	
00884	16	A0434	209.65	3.25	0.827	$610.83	$616.81	$756.21	n/a	
00884	16	A0435	1.00	1.00	0.827	$8.07	$12.11	n/a	$12.11	
00884	16	A0436	1.00	1.00	0.827	$21.53	$32.30	n/a	$32.30	
Virginia										
00904	00	A0425	1.00	1.00	0.942	$6.87	$6.94	n/a	$10.41	
00904	00	A0426	209.65	1.20	0.942	$246.19	$248.61	$304.80	n/a	
00904	00	A0427	209.65	1.90	0.942	$389.81	$393.63	$482.59	n/a	
00904	00	A0428	209.65	1.00	0.942	$205.16	$207.17	$253.99	n/a	
00904	00	A0429	209.65	1.60	0.942	$328.26	$331.48	$406.39	n/a	
00904	00	A0430	1.00	1.00	0.942	"$2,762.63"	"$4,143.95"	n/a	"$4,143.95"	
00904	00	A0431	1.00	1.00	0.942	"$3,211.96"	"$4,817.94"	n/a	"$4,817.94"	
00904	00	A0432	209.65	1.75	0.942	$359.03	$362.55	n/a	n/a	
00904	00	A0433	209.65	2.75	0.942	$564.19	$569.72	$698.48	n/a	
00904	00	A0434	209.65	3.25	0.942	$666.77	$673.31	$825.48	n/a	
00904	00	A0435	1.00	1.00	0.942	$8.07	$12.11	n/a	$12.11	
00904	00	A0436	1.00	1.00	0.942	$21.53	$32.30	n/a	$32.30	
Wisconsin										
00951	00	A0425	1.00	1.00	0.921	$6.87	$6.94	n/a	$10.41	
00951	00	A0426	209.65	1.20	0.921	$242.42	$244.80	$300.12	n/a	
00951	00	A0427	209.65	1.90	0.921	$383.83	$387.60	$475.20	n/a	
00951	00	A0428	209.65	1.00	0.921	$202.02	$204.00	$250.10	n/a	
00951	00	A0429	209.65	1.60	0.921	$323.23	$326.40	$400.17	n/a	
00951	00	A0430	1.00	1.00	0.921	"$2,732.76"	"$4,099.14"	n/a	"$4,099.14"	
00951	00	A0431	1.00	1.00	0.921	"$3,177.23"	"$4,765.84"	n/a	"$4,765.84"	
00951	00	A0432	209.65	1.75	0.921	$353.53	$357.00	n/a	n/a	
00951	00	A0433	209.65	2.75	0.921	$555.55	$560.99	$687.77	n/a	
00951	00	A0434	209.65	3.25	0.921	$656.56	$662.99	$812.83	n/a	
00951	00	A0435	1.00	1.00	0.921	$8.07	$12.11	n/a	$12.11	
00951	00	A0436	1.00	1.00	0.921	$21.53	$32.30	n/a	$32.30	
Illinois										
00952	12	A0425	1.00	1.00	0.919	$6.87	$6.94	n/a	$10.41	
00952	12	A0426	209.65	1.20	0.919	$242.06	$244.43	$299.67	n/a	
00952	12	A0427	209.65	1.90	0.919	$383.26	$387.02	$474.49	n/a	
00952	12	A0428	209.65	1.00	0.919	$201.72	$203.70	$249.74	n/a	
00952	12	A0429	209.65	1.60	0.919	$322.75	$325.91	$399.57	n/a	
00952	12	A0430	1.00	1.00	0.919	"$2,729.91"	"$4,094.87"	n/a	"$4,094.87"	
00952	12	A0431	1.00	1.00	0.919	"$3,173.92"	"$4,760.88"	n/a	"$4,760.88"	
00952	12	A0432	209.65	1.75	0.919	$353.01	$356.47	n/a	n/a	
00952	12	A0433	209.65	2.75	0.919	$554.72	$560.16	$686.76	n/a	
00952	12	A0434	209.65	3.25	0.919	$655.58	$662.01	$811.62	n/a	
00952	12	A0435	1.00	1.00	0.919	$8.07	$12.11	n/a	$12.11	
00952	12	A0436	1.00	1.00	0.919	$21.53	$32.30	n/a	$32.30	
00952	15	A0425	1.00	1.00	1.068	$6.87	$6.94	n/a	$10.41	
00952	15	A0426	209.65	1.20	1.068	$268.83	$271.46	$332.81	n/a	
00952	15	A0427	209.65	1.90	1.068	$425.64	$429.81	$526.95	n/a	
00952	15	A0428	209.65	1.00	1.068	$224.02	$226.22	$277.35	n/a	
00952	15	A0429	209.65	1.60	1.068	$358.44	$361.95	$443.75	n/a	
00952	15	A0430	1.00	1.00	1.068	"$2,941.87"	"$4,412.81"	n/a	"$4,412.81"	
00952	15	A0431	1.00	1.00	1.068	"$3,420.36"	"$5,130.54"	n/a	"$5,130.54"	
