(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
00883	00	A0430	2842.29	1.00	0.961	"$2,786.87"	"$4,180.30"	n/a	"$4,180.30"	
00883	00	A0431	3304.58	1.00	0.961	"$3,240.14"	"$4,860.21"	n/a	"$4,860.21"	
00883	00	A0432	209.44	1.75	0.961	$363.64	$367.21	n/a	n/a	
00883	00	A0433	209.44	2.75	0.961	$571.44	$577.04	$707.46	n/a	
00883	00	A0434	209.44	3.25	0.961	$675.34	$681.96	$836.08	n/a	
00883	00	A0435	8.06	1.00	0.961	$8.06	$12.09	n/a	$12.09	
00883	00	A0436	21.51	1.00	0.961	$21.51	$32.27	n/a	$32.27	
West Virginia										
00884	16	A0425	6.73	1.00	0.912	$6.86	$6.93	n/a	$10.40	
00884	16	A0426	209.44	1.20	0.912	$240.56	$242.92	$297.82	n/a	
00884	16	A0427	209.44	1.90	0.912	$380.89	$384.63	$471.55	n/a	
00884	16	A0428	209.44	1.00	0.912	$200.47	$202.43	$248.18	n/a	
00884	16	A0429	209.44	1.60	0.912	$320.75	$323.90	$397.10	n/a	
00884	16	A0430	2842.29	1.00	0.912	"$2,717.23"	"$4,075.84"	n/a	"$4,075.84"	
00884	16	A0431	3304.58	1.00	0.912	"$3,159.18"	"$4,738.77"	n/a	"$4,738.77"	
00884	16	A0432	209.44	1.75	0.912	$350.82	$354.26	n/a	n/a	
00884	16	A0433	209.44	2.75	0.912	$551.29	$556.70	$682.51	n/a	
00884	16	A0434	209.44	3.25	0.912	$651.53	$657.91	$806.60	n/a	
00884	16	A0435	8.06	1.00	0.912	$8.06	$12.09	n/a	$12.09	
00884	16	A0436	21.51	1.00	0.912	$21.51	$32.27	n/a	$32.27	
Virginia										
00904	00	A0425	6.73	1.00	0.978	$6.86	$6.93	n/a	$10.40	
00904	00	A0426	209.44	1.20	0.978	$252.41	$254.88	$312.48	n/a	
00904	00	A0427	209.44	1.90	0.978	$399.64	$403.56	$494.77	n/a	
00904	00	A0428	209.44	1.00	0.978	$210.34	$212.40	$260.40	n/a	
00904	00	A0429	209.44	1.60	0.978	$336.54	$339.84	$416.65	n/a	
00904	00	A0430	2842.29	1.00	0.978	"$2,811.02"	"$4,216.54"	n/a	"$4,216.54"	
00904	00	A0431	3304.58	1.00	0.978	"$3,268.23"	"$4,902.34"	n/a	"$4,902.34"	
00904	00	A0432	209.44	1.75	0.978	$368.09	$371.70	n/a	n/a	
