(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
Mississippi									
00952	16	A0434	209.65	3.25	1.080	$733.91	$741.10	$908.59	n/a
00952	16	A0435	8.07	1.00	1.080	$8.07	$12.11	n/a	$12.11
00952	16	A0436	21.53	1.00	1.080	$21.53	$32.30	n/a	$32.30
00952	99	A0425	6.74	1.00	0.940	$6.87	$6.94	n/a	$10.41
00952	99	A0426	209.65	1.20	0.940	$245.83	$248.24	$304.35	n/a
00952	99	A0427	209.65	1.90	0.940	$389.24	$393.05	$481.88	n/a
00952	99	A0428	209.65	1.00	0.940	$204.86	$206.87	$253.62	n/a
00952	99	A0429	209.65	1.60	0.940	$327.78	$330.99	$405.80	n/a
00952	99	A0430	2845.14	1.00	0.940	"$2,759.79"	"$4,139.68"	n/a	"$4,139.68"
00952	99	A0431	3307.89	1.00	0.940	"$3,208.65"	"$4,812.98"	n/a	"$4,812.98"
00952	99	A0432	209.65	1.75	0.940	$358.51	$362.02	n/a	n/a
00952	99	A0433	209.65	2.75	0.940	$563.37	$568.89	$697.46	n/a
00952	99	A0434	209.65	3.25	0.940	$665.80	$672.33	$824.27	n/a
00952	99	A0435	8.07	1.00	0.940	$8.07	$12.11	n/a	$12.11
00952	99	A0436	21.53	1.00	0.940	$21.53	$32.30	n/a	$32.30
Michigan									
00953	01	A0425	6.74	1.00	1.040	$6.87	$6.94	n/a	$10.41
00953	01	A0426	209.65	1.20	1.040	$263.80	$266.38	$326.59	n/a
00953	01	A0427	209.65	1.90	1.040	$417.68	$421.77	$517.09	n/a
00953	01	A0428	209.65	1.00	1.040	$219.83	$221.99	$272.15	n/a
00953	01	A0429	209.65	1.60	1.040	$351.73	$355.18	$435.45	n/a
00953	01	A0430	2845.14	1.00	1.040	"$2,902.04"	"$4,353.06"	n/a	"$4,353.06"
00953	01	A0431	3307.89	1.00	1.040	"$3,374.05"	"$5,061.07"	n/a	"$5,061.07"
00953	01	A0432	209.65	1.75	1.040	$384.70	$388.48	n/a	n/a
00953	01	A0433	209.65	2.75	1.040	$604.53	$610.46	$748.43	n/a
00953	01	A0434	209.65	3.25	1.040	$714.45	$721.45	$884.50	n/a
00953	01	A0435	8.07	1.00	1.040	$8.07	$12.11	n/a	$12.11
00953	01	A0436	21.53	1.00	1.040	$21.53	$32.30	n/a	$32.30
00953	99	A0425	6.74	1.00	0.962	$6.87	$6.94	n/a	$10.41
00953	99	A0426	209.65	1.20	0.962	$249.79	$252.23	$309.24	n/a
00953	99	A0427	209.65	1.90	0.962	$395.49	$399.37	$489.63	n/a
00953	99	A0428	209.65	1.00	0.962	$208.15	$210.20	$257.70	n/a
00953	99	A0429	209.65	1.60	0.962	$333.05	$336.31	$412.32	n/a
00953	99	A0430	2845.14	1.00	0.962	"$2,791.08"	"$4,186.62"	n/a	"$4,186.62"
00953	99	A0431	3307.89	1.00	0.962	"$3,245.04"	"$4,867.56"	n/a	"$4,867.56"
00953	99	A0432	209.65	1.75	0.962	$364.27	$367.84	n/a	n/a
00953	99	A0433	209.65	2.75	0.962	$572.43	$578.04	$708.67	n/a
00953	99	A0434	209.65	3.25	0.962	$676.50	$683.14	$837.52	n/a
00953	99	A0435	8.07	1.00	0.962	$8.07	$12.11	n/a	$12.11
00953	99	A0436	21.53	1.00	0.962	$21.53	$32.30	n/a	$32.30
Minnesota									
00954	00	A0425	6.74	1.00	0.992	$6.87	$6.94	n/a	$10.41
00954	00	A0426	209.65	1.20	0.992	$255.17	$257.68	$315.91	n/a
00954	00	A0427	209.65	1.90	0.992	$404.03	$407.99	$500.19	n/a
00954	00	A0428	209.65	1.00	0.992	$212.65	$214.73	$263.26	n/a
00954	00	A0429	209.65	1.60	0.992	$340.23	$343.57	$421.21	n/a
00954	00	A0430	2845.14	1.00	0.992	"$2,833.76"	"$4,250.64"	n/a	"$4,250.64"
00954	00	A0431	3307.89	1.00	0.992	"$3,294.66"	"$4,941.99"	n/a	"$4,941.99"
00954	00	A0432	209.65	1.75	0.992	$372.13	$375.78	n/a	n/a
00954	00	A0433	209.65	2.75	0.992	$584.78	$590.51	$723.96	n/a
00954	00	A0434	209.65	3.25	0.992	$691.10	$697.87	$855.59	n/a
00954	00	A0435	8.07	1.00	0.992	$8.07	$12.11	n/a	$12.11
00954	00	A0436	21.53	1.00	0.992	$21.53	$32.30	n/a	$32.30
Northern California									
01102	03	A0425	6.74	1.00	1.265	$6.87	$6.94	n/a	$10.41
01102	03	A0426	209.65	1.20	1.265	$304.21	$307.20	$376.62	n/a
01102	03	A0427	209.65	1.90	1.265	$481.67	$486.39	$596.32	n/a
01102	03	A0428	209.65	1.00	1.265	$253.51	$256.00	$313.85	n/a
01102	03	A0429	209.65	1.60	1.265	$405.62	$409.59	$502.16	n/a
01102	03	A0430	2845.14	1.00	1.265	"$3,222.12"	"$4,833.18"	n/a	"$4,833.18"
01102	03	A0431	3307.89	1.00	1.265	"$3,746.19"	"$5,619.28"	n/a	"$5,619.28"
01102	03	A0432	209.65	1.75	1.265	$443.64	$447.99	n/a	n/a
01102	03	A0433	209.65	2.75	1.265	$697.15	$703.99	$863.09	n/a
01102	03	A0434	209.65	3.25	1.265	$823.91	$831.99	"$1,020.02"	n/a
01102	03	A0435	8.07	1.00	1.265	$8.07	$12.11	n/a	$12.11
01102	03	A0436	21.53	1.00	1.265	$21.53	$32.30	n/a	$32.30
01102	05	A0425	6.74	1.00	1.441	$6.87	$6.94	n/a	$10.41
01102	05	A0426	209.65	1.20	1.441	$335.83	$339.12	$415.76	n/a
01102	05	A0427	209.65	1.90	1.441	$531.73	$536.94	$658.29	n/a
01102	05	A0428	209.65	1.00	1.441	$279.86	$282.60	$346.47	n/a
01102	05	A0429	209.65	1.60	1.441	$447.77	$452.16	$554.35	n/a
01102	05	A0430	2845.14	1.00	1.441	"$3,472.49"	"$5,208.74"	n/a	"$5,208.74"
01102	05	A0431	3307.89	1.00	1.441	"$4,037.28"	"$6,055.92"	n/a	"$6,055.92"
01102	05	A0432	209.65	1.75	1.441	$489.75	$494.55	n/a	n/a
01102	05	A0433	209.65	2.75	1.441	$769.60	$777.15	$952.79	n/a
01102	05	A0434	209.65	3.25	1.441	$909.53	$918.45	"$1,126.02"	n/a
01102	05	A0435	8.07	1.00	1.441	$8.07	$12.11	n/a	$12.11
01102	05	A0436	21.53	1.00	1.441	$21.53	$32.30	n/a	$32.30
01102	06	A0425	6.74	1.00	1.433	$6.87	$6.94	n/a	$10.41
01102	06	A0426	209.65	1.20	1.433	$334.39	$337.67	$413.98	n/a
01102	06	A0427	209.65	1.90	1.433	$529.45	$534.64	$655.47	n/a
01102	06	A0428	209.65	1.00	1.433	$278.66	$281.39	$344.99	n/a
01102	06	A0429	209.65	1.60	1.433	$445.85	$450.23	$551.98	n/a
Northern California (cont'd)									
01102	06	A0430	2845.14	1.00	1.433	"$3,461.11"	"$5,191.67"	n/a	"$5,191.67"
01102	06	A0431	3307.89	1.00	1.433	"$4,024.05"	"$6,036.07"	n/a	"$6,036.07"
01102	06	A0432	209.65	1.75	1.433	$487.65	$492.43	n/a	n/a
01102	06	A0433	209.65	2.75	1.433	$766.31	$773.82	$948.71	n/a
01102	06	A0434	209.65	3.25	1.433	$905.64	$914.52	"$1,121.20"	n/a
01102	06	A0435	8.07	1.00	1.433	$8.07	$12.11	n/a	$12.11
01102	06	A0436	21.53	1.00	1.433	$21.53	$32.30	n/a	$32.30
